date,event,home,away,predictedWinner,actualWinner,winner_correct,predictedSpread,casinoSpread,casinoFavoredTeamName,predictedTotal,casinoTotal,kalshi_pick_close,kalshi_opp_close,kalshi_pick_result
2026-05-29,KXMLBGAME-26MAY291910MIANYM,New York Mets,Miami Marlins,New York Mets,New York Mets,1,1,1.5,Miami Marlins,3,7.5,0.515,0.485,yes
2026-05-29,KXMLBGAME-26MAY291910BOSCLE,Cleveland Guardians,Boston Red Sox,Boston Red Sox,Cleveland Guardians,0,-1,1.5,Boston Red Sox,7,8,0.46499999999999997,0.545,no
2026-05-29,KXMLBGAME-26MAY291910LAATB,Tampa Bay Rays,Los Angeles Angels,Tampa Bay Rays,Tampa Bay Rays,1,3,-1.5,Tampa Bay Rays,7,8,0.595,0.405,yes
2026-05-29,KXMLBGAME-26MAY291845SDWSH,Washington Nationals,San Diego Padres,San Diego Padres,San Diego Padres,1,-1,1.5,San Diego Padres,7,9.5,0.485,0.525,yes
2026-05-29,KXMLBGAME-26MAY291840ATLCIN,Cincinnati Reds,Atlanta Braves,Atlanta Braves,Atlanta Braves,1,-3,1.5,Atlanta Braves,11,9.5,0.565,0.445,yes
2026-05-29,KXMLBGAME-26MAY291845MINPIT,Pittsburgh Pirates,Minnesota Twins,Pittsburgh Pirates,Pittsburgh Pirates,1,1,-1.5,Pittsburgh Pirates,9,8,0.545,0.455,yes
2026-05-28,KXMLBGAME-26MAY282005HOUTEX,Texas Rangers,Houston Astros,Texas Rangers,Houston Astros,0,1,-1.5,Texas Rangers,3,7,0.565,0.435,no
2026-05-28,KXMLBGAME-26MAY281835TORBAL,Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,Toronto Blue Jays,1,-2,-1.5,Baltimore Orioles,12,8.5,0.46499999999999997,0.535,yes
2026-05-28,KXMLBGAME-26MAY281840CHCPIT,Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,0,1,-1.5,Pittsburgh Pirates,9,7.5,0.615,0.395,no
2026-05-28,KXMLBGAME-26MAY281610ATLBOS,Boston Red Sox,Atlanta Braves,Atlanta Braves,Atlanta Braves,1,-1,1.5,Atlanta Braves,3,6.5,0.555,0.455,yes
2026-05-28,KXMLBGAME-26MAY281410MINCWS,Chicago White Sox,Minnesota Twins,Chicago White Sox,Chicago White Sox,1,1,-1.5,Chicago White Sox,3,8,0.605,0.405,yes
2026-05-28,KXMLBGAME-26MAY281310LAADET,Detroit Tigers,Los Angeles Angels,Detroit Tigers,Los Angeles Angels,0,1,-1.5,Detroit Tigers,9,8.5,0.555,0.445,no
2026-05-27,KXMLBGAME-26MAY272210COLLAD,Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,1,4,-1.5,Los Angeles Dodgers,6,8,0.795,0.20500000000000002,yes
2026-05-27,KXMLBGAME-26MAY272005HOUTEX,Texas Rangers,Houston Astros,Texas Rangers,Houston Astros,0,4,-1.5,Texas Rangers,6,7,0.565,0.435,no
2026-05-27,KXMLBGAME-26MAY271940NYYKC,Kansas City Royals,New York Yankees,New York Yankees,New York Yankees,1,-4,1.5,New York Yankees,8,8.5,0.595,0.405,yes
2026-05-27,KXMLBGAME-26MAY271940MINCWS,Chicago White Sox,Minnesota Twins,Minnesota Twins,Chicago White Sox,0,-1,1.5,Minnesota Twins,5,8,0.505,0.495,no
2026-05-27,KXMLBGAME-26MAY271910CINNYM,New York Mets,Cincinnati Reds,New York Mets,New York Mets,1,3,1.5,Cincinnati Reds,7,8.5,0.525,0.475,yes
2026-05-27,KXMLBGAME-26MAY271840LAADET,Detroit Tigers,Los Angeles Angels,Detroit Tigers,Detroit Tigers,1,1,1.5,Los Angeles Angels,3,7.5,0.515,0.495,yes
2026-05-27,KXMLBGAME-26MAY271845ATLBOS,Boston Red Sox,Atlanta Braves,Atlanta Braves,Boston Red Sox,0,-2,1.5,Atlanta Braves,4,8.5,0.485,0.515,no
2026-05-27,KXMLBGAME-26MAY271835TBBAL,Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,0,-2,1.5,Tampa Bay Rays,4,9,0.535,0.475,no
2026-05-27,KXMLBGAME-26MAY271840CHCPIT,Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,0,4,-1.5,Pittsburgh Pirates,8,9,0.535,0.475,no
2026-05-27,KXMLBGAME-26MAY271610PHISD,San Diego Padres,Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,1,-1,1.5,Philadelphia Phillies,3,7,0.555,0.445,yes
2026-05-27,KXMLBGAME-26MAY271545AZSF,San Francisco Giants,Arizona Diamondbacks,Arizona Diamondbacks,Arizona Diamondbacks,1,-2,1.5,Arizona Diamondbacks,4,7.5,0.515,0.485,yes
2026-05-27,KXMLBGAME-26MAY271505SEAATH,Oakland Athletics,Seattle Mariners,Seattle Mariners,Seattle Mariners,1,-1,1.5,Seattle Mariners,7,9,0.525,0.475,yes
2026-05-27,KXMLBGAME-26MAY271340STLMIL,Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,1,3,-1.5,Milwaukee Brewers,7,8,0.615,0.385,yes
2026-05-27,KXMLBGAME-26MAY271307MIATOR,Toronto Blue Jays,Miami Marlins,Toronto Blue Jays,Toronto Blue Jays,1,1,-1.5,Toronto Blue Jays,5,7.5,0.585,0.415,yes
2026-05-27,KXMLBGAME-26MAY271310WSHCLE,Cleveland Guardians,Washington Nationals,Cleveland Guardians,Cleveland Guardians,1,1,-1.5,Cleveland Guardians,5,8,0.625,0.385,yes
2026-05-26,KXMLBGAME-26MAY262210COLLAD,Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,1,1,-1.5,Los Angeles Dodgers,5,9,0.675,0.325,yes
2026-05-26,KXMLBGAME-26MAY262140SEAATH,Oakland Athletics,Seattle Mariners,Oakland Athletics,Seattle Mariners,0,1,1.5,Seattle Mariners,7,9.5,0.515,0.485,no
2026-05-26,KXMLBGAME-26MAY262145AZSF,San Francisco Giants,Arizona Diamondbacks,Arizona Diamondbacks,Arizona Diamondbacks,1,-1,1.5,Arizona Diamondbacks,7,8,0.495,0.515,yes
2026-05-26,KXMLBGAME-26MAY262140PHISD,San Diego Padres,Philadelphia Phillies,San Diego Padres,Philadelphia Phillies,0,3,1.5,Philadelphia Phillies,5,7.5,0.505,0.495,no
2026-05-26,KXMLBGAME-26MAY262005HOUTEX,Texas Rangers,Houston Astros,Texas Rangers,Texas Rangers,1,2,-1.5,Texas Rangers,8,8,0.545,0.455,yes
2026-05-26,KXMLBGAME-26MAY261940NYYKC,Kansas City Royals,New York Yankees,New York Yankees,New York Yankees,1,-3,1.5,New York Yankees,5,8.5,0.645,0.355,yes
2026-05-26,KXMLBGAME-26MAY261940STLMIL,Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,1,1,-1.5,Milwaukee Brewers,3,8,0.655,0.345,yes
2026-05-26,KXMLBGAME-26MAY261940MINCWS,Chicago White Sox,Minnesota Twins,Minnesota Twins,Minnesota Twins,1,-1,1.5,Minnesota Twins,5,7.5,0.515,0.495,yes
2026-05-26,KXMLBGAME-26MAY261907MIATOR,Toronto Blue Jays,Miami Marlins,Miami Marlins,Toronto Blue Jays,0,-2,-1.5,Toronto Blue Jays,4,7.5,0.46499999999999997,0.535,no
2026-05-26,KXMLBGAME-26MAY261910CINNYM,New York Mets,Cincinnati Reds,Cincinnati Reds,Cincinnati Reds,1,-1,1.5,Cincinnati Reds,7,7.5,0.535,0.475,yes
2026-05-26,KXMLBGAME-26MAY261835TBBAL,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,Baltimore Orioles,1,1,1.5,Tampa Bay Rays,9,8.5,0.495,0.515,yes
2026-05-26,KXMLBGAME-26MAY261840CHCPIT,Pittsburgh Pirates,Chicago Cubs,Chicago Cubs,Pittsburgh Pirates,0,-3,-1.5,Pittsburgh Pirates,7,8,0.445,0.555,no
2026-05-26,KXMLBGAME-26MAY261840LAADET,Detroit Tigers,Los Angeles Angels,Detroit Tigers,Los Angeles Angels,0,1,-1.5,Detroit Tigers,5,9,0.555,0.445,no
2026-05-26,KXMLBGAME-26MAY261845ATLBOS,Boston Red Sox,Atlanta Braves,Atlanta Braves,Atlanta Braves,1,-4,1.5,Atlanta Braves,6,8,0.485,0.515,yes
2026-05-26,KXMLBGAME-26MAY261810WSHCLE,Cleveland Guardians,Washington Nationals,Cleveland Guardians,Washington Nationals,0,1,-1.5,Cleveland Guardians,5,7.5,0.545,0.455,no
2026-05-25,KXMLBGAME-26MAY252140SEAATH,Oakland Athletics,Seattle Mariners,Oakland Athletics,Seattle Mariners,0,4,1.5,Seattle Mariners,12,10.5,0.495,0.505,no
2026-05-25,KXMLBGAME-26MAY252110COLLAD,Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,1,3,-1.5,Los Angeles Dodgers,7,9,0.745,0.255,yes
2026-05-25,KXMLBGAME-26MAY251907MIATOR,Toronto Blue Jays,Miami Marlins,Toronto Blue Jays,Miami Marlins,0,1,-1.5,Toronto Blue Jays,5,7.5,0.585,0.425,no
2026-05-25,KXMLBGAME-26MAY251905HOUTEX,Texas Rangers,Houston Astros,Texas Rangers,Houston Astros,0,3,1.5,Houston Astros,7,8,0.525,0.475,no
2026-05-25,KXMLBGAME-26MAY251840PHISD,San Diego Padres,Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,1,-2,1.5,Philadelphia Phillies,6,7,0.515,0.485,yes
2026-05-25,KXMLBGAME-26MAY251810WSHCLE,Cleveland Guardians,Washington Nationals,Cleveland Guardians,Washington Nationals,0,2,-1.5,Cleveland Guardians,8,8,0.615,0.385,no
2026-05-25,KXMLBGAME-26MAY251705AZSF,San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,0,1,-1.5,San Francisco Giants,5,7.5,0.545,0.455,no
2026-05-25,KXMLBGAME-26MAY251610CINNYM,New York Mets,Cincinnati Reds,New York Mets,Cincinnati Reds,0,2,-1.5,New York Mets,4,7.5,0.555,0.445,no
2026-05-25,KXMLBGAME-26MAY251540NYYKC,Kansas City Royals,New York Yankees,Kansas City Royals,New York Yankees,0,3,1.5,New York Yankees,7,8.5,0.455,0.545,no
2026-05-25,KXMLBGAME-26MAY251410STLMIL,Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,1,2,-1.5,Milwaukee Brewers,4,7.5,0.665,0.335,yes
2026-05-25,KXMLBGAME-26MAY251410MINCWS,Chicago White Sox,Minnesota Twins,Minnesota Twins,Chicago White Sox,0,-2,1.5,Minnesota Twins,6,8,0.495,0.505,no
2026-05-25,KXMLBGAME-26MAY251335CHCPIT,Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,Pittsburgh Pirates,1,3,1.5,Chicago Cubs,5,8,0.46499999999999997,0.535,yes
2026-05-25,KXMLBGAME-26MAY251335TBBAL,Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,0,-2,1.5,Tampa Bay Rays,6,7.5,0.515,0.485,no
2026-05-24,KXMLBGAME-26MAY241920TEXLAA,Los Angeles Angels,Texas Rangers,Texas Rangers,Los Angeles Angels,0,-2,1.5,Texas Rangers,4,7.5,0.475,0.525,no
2026-05-24,KXMLBGAME-26MAY241610ATHSD,San Diego Padres,Oakland Athletics,San Diego Padres,Oakland Athletics,0,1,-1.5,San Diego Padres,3,7.5,0.615,0.395,no
2026-05-24,KXMLBGAME-26MAY241610WSHATL,Atlanta Braves,Washington Nationals,Atlanta Braves,Washington Nationals,0,3,-1.5,Atlanta Braves,5,8,0.595,0.405,no
2026-05-24,KXMLBGAME-26MAY241610COLAZ,Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,1,1,-1.5,Arizona Diamondbacks,7,9,0.645,0.355,yes
2026-05-24,KXMLBGAME-26MAY241605CWSSF,San Francisco Giants,Chicago White Sox,San Francisco Giants,San Francisco Giants,1,1,1.5,Chicago White Sox,5,8,0.545,0.46499999999999997,yes
2026-05-24,KXMLBGAME-26MAY241420HOUCHC,Chicago Cubs,Houston Astros,Chicago Cubs,Houston Astros,0,1,-1.5,Chicago Cubs,5,7,0.615,0.385,no
2026-05-24,KXMLBGAME-26MAY241410LADMIL,Milwaukee Brewers,Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Dodgers,1,-1,1.5,Los Angeles Dodgers,5,8,0.585,0.425,yes
2026-05-24,KXMLBGAME-26MAY241410SEAKC,Kansas City Royals,Seattle Mariners,Kansas City Royals,Kansas City Royals,1,1,1.5,Seattle Mariners,5,8.5,0.46499999999999997,0.535,yes
2026-05-24,KXMLBGAME-26MAY241335DETBAL,Baltimore Orioles,Detroit Tigers,Detroit Tigers,Detroit Tigers,1,-3,,,5,,0.445,0.555,no
2026-05-24,KXMLBGAME-26MAY241335CLEPHI,Philadelphia Phillies,Cleveland Guardians,Cleveland Guardians,Cleveland Guardians,1,-1,1.5,Cleveland Guardians,3,7.5,0.515,0.485,yes
2026-05-24,KXMLBGAME-26MAY241335MINBOS,Boston Red Sox,Minnesota Twins,Boston Red Sox,Minnesota Twins,0,1,-1.5,Boston Red Sox,3,7,0.615,0.385,no
2026-05-24,KXMLBGAME-26MAY241335TBNYY,New York Yankees,Tampa Bay Rays,New York Yankees,New York Yankees,1,1,-1.5,New York Yankees,3,7,0.565,0.435,yes
2026-05-24,KXMLBGAME-26MAY241340NYMMIA,Miami Marlins,New York Mets,Miami Marlins,Miami Marlins,1,2,-1.5,Miami Marlins,4,7.5,0.535,0.46499999999999997,yes
2026-05-24,KXMLBGAME-26MAY241215PITTOR,Toronto Blue Jays,Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,1,-1,-1.5,Toronto Blue Jays,5,7.5,0.385,0.615,yes
2026-05-23,KXMLBGAME-26MAY232210COLAZ,Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,1,4,-1.5,Arizona Diamondbacks,10,9.5,0.635,0.365,yes
2026-05-23,KXMLBGAME-26MAY232205TEXLAA,Los Angeles Angels,Texas Rangers,Texas Rangers,Los Angeles Angels,0,-1,1.5,Texas Rangers,5,7.5,0.565,0.435,no
2026-05-23,KXMLBGAME-26MAY232140ATHSD,San Diego Padres,Oakland Athletics,Oakland Athletics,San Diego Padres,0,-1,1.5,Oakland Athletics,7,8,0.545,0.455,no
2026-05-23,KXMLBGAME-26MAY231915STLCIN,Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals,St. Louis Cardinals,1,-1,1.5,St. Louis Cardinals,7,10,0.505,0.5,no
2026-05-23,KXMLBGAME-26MAY231915LADMIL,Milwaukee Brewers,Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers,0,2,1.5,Los Angeles Dodgers,8,8.5,0.485,0.525,no
2026-05-23,KXMLBGAME-26MAY231605CWSSF,San Francisco Giants,Chicago White Sox,Chicago White Sox,San Francisco Giants,0,-2,1.5,Chicago White Sox,6,9,0.495,0.505,no
2026-05-23,KXMLBGAME-26MAY231610SEAKC,Kansas City Royals,Seattle Mariners,Seattle Mariners,Kansas City Royals,0,-2,1.5,Seattle Mariners,4,8.5,0.535,0.475,no
2026-05-23,KXMLBGAME-26MAY231610NYMMIA,Miami Marlins,New York Mets,New York Mets,Miami Marlins,0,-3,1.5,New York Mets,5,8,0.495,0.515,no
2026-05-23,KXMLBGAME-26MAY231605CLEPHI,Philadelphia Phillies,Cleveland Guardians,Philadelphia Phillies,Philadelphia Phillies,1,2,-1.5,Philadelphia Phillies,8,7,0.615,0.385,yes
2026-05-23,KXMLBGAME-26MAY231610WSHATL,Atlanta Braves,Washington Nationals,Atlanta Braves,Washington Nationals,0,5,-1.5,Atlanta Braves,9,8.5,0.605,0.395,no
2026-05-23,KXMLBGAME-26MAY231610MINBOS,Boston Red Sox,Minnesota Twins,Boston Red Sox,Minnesota Twins,0,1,-1.5,Boston Red Sox,7,7.5,0.535,0.46499999999999997,no
2026-05-23,KXMLBGAME-26MAY231507PITTOR,Toronto Blue Jays,Pittsburgh Pirates,Pittsburgh Pirates,Toronto Blue Jays,0,-2,1.5,Pittsburgh Pirates,4,7.5,0.585,0.415,no
2026-05-23,KXMLBGAME-26MAY231420HOUCHC,Chicago Cubs,Houston Astros,Houston Astros,Houston Astros,1,-4,-1.5,Chicago Cubs,6,7,0.425,0.585,yes
2026-05-22,KXMLBGAME-26MAY222215CWSSF,San Francisco Giants,Chicago White Sox,San Francisco Giants,Chicago White Sox,0,1,1.5,Chicago White Sox,11,7,0.485,0.515,no
2026-05-22,KXMLBGAME-26MAY222140COLAZ,Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,Colorado Rockies,0,4,-1.5,Arizona Diamondbacks,6,9,0.665,0.335,no
2026-05-22,KXMLBGAME-26MAY222140ATHSD,San Diego Padres,Oakland Athletics,Oakland Athletics,San Diego Padres,0,-1,-1.5,San Diego Padres,5,7.5,0.46499999999999997,0.535,no
2026-05-22,KXMLBGAME-26MAY222138TEXLAA,Los Angeles Angels,Texas Rangers,Texas Rangers,Los Angeles Angels,0,-3,1.5,Texas Rangers,5,7.5,0.605,0.405,no
2026-05-22,KXMLBGAME-26MAY221940LADMIL,Milwaukee Brewers,Los Angeles Dodgers,Milwaukee Brewers,Milwaukee Brewers,1,2,1.5,Los Angeles Dodgers,8,8.5,0.505,0.495,yes
2026-05-22,KXMLBGAME-26MAY221940SEAKC,Kansas City Royals,Seattle Mariners,Kansas City Royals,Seattle Mariners,0,1,1.5,Seattle Mariners,9,8,0.485,0.515,no
2026-05-22,KXMLBGAME-26MAY221907PITTOR,Toronto Blue Jays,Pittsburgh Pirates,Pittsburgh Pirates,Toronto Blue Jays,0,-1,-1.5,Toronto Blue Jays,3,8,0.405,0.595,no
2026-05-22,KXMLBGAME-26MAY221910MINBOS,Boston Red Sox,Minnesota Twins,Boston Red Sox,Minnesota Twins,0,1,-1.5,Boston Red Sox,5,7,0.575,0.425,no
2026-05-22,KXMLBGAME-26MAY221915DETBAL,Baltimore Orioles,Detroit Tigers,Detroit Tigers,Baltimore Orioles,0,-3,-1.5,Baltimore Orioles,7,8,0.455,0.555,no
2026-05-22,KXMLBGAME-26MAY221915WSHATL,Atlanta Braves,Washington Nationals,Atlanta Braves,Atlanta Braves,1,1,-1.5,Atlanta Braves,5,8.5,0.645,0.355,yes
2026-05-22,KXMLBGAME-26MAY221910NYMMIA,Miami Marlins,New York Mets,New York Mets,Miami Marlins,0,-4,1.5,New York Mets,6,8,0.495,0.515,no
2026-05-22,KXMLBGAME-26MAY221905TBNYY,New York Yankees,Tampa Bay Rays,Tampa Bay Rays,Tampa Bay Rays,1,-1,-1.5,New York Yankees,3,7.5,0.435,0.575,yes
2026-05-22,KXMLBGAME-26MAY221840CLEPHI,Philadelphia Phillies,Cleveland Guardians,Philadelphia Phillies,Cleveland Guardians,0,2,-1.5,Philadelphia Phillies,6,6.5,0.625,0.375,no
2026-05-22,KXMLBGAME-26MAY221420HOUCHC,Chicago Cubs,Houston Astros,Chicago Cubs,Houston Astros,0,1,-1.5,Chicago Cubs,5,7,0.575,0.435,no
2026-05-21,KXMLBGAME-26MAY212138ATHLAA,Los Angeles Angels,Oakland Athletics,Los Angeles Angels,Oakland Athletics,0,2,1.5,Oakland Athletics,4,8.5,0.535,0.475,no
2026-05-21,KXMLBGAME-26MAY212140COLAZ,Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,1,2,-1.5,Arizona Diamondbacks,8,9.5,0.655,0.345,yes
2026-05-21,KXMLBGAME-26MAY211905TORNYY,New York Yankees,Toronto Blue Jays,New York Yankees,Toronto Blue Jays,0,2,-1.5,New York Yankees,6,8.5,0.565,0.435,no
2026-05-21,KXMLBGAME-26MAY211840ATLMIA,Miami Marlins,Atlanta Braves,Atlanta Braves,Atlanta Braves,1,-1,1.5,Atlanta Braves,5,7.5,0.565,0.435,yes
2026-05-21,KXMLBGAME-26MAY211605NYMWSH,Washington Nationals,New York Mets,New York Mets,New York Mets,1,-3,1.5,New York Mets,7,7.5,0.515,0.495,yes
2026-05-21,KXMLBGAME-26MAY211315PITSTL,St. Louis Cardinals,Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,1,-1,1.5,Pittsburgh Pirates,7,7,0.535,0.475,yes
2026-05-21,KXMLBGAME-26MAY211310CLEDET,Detroit Tigers,Cleveland Guardians,Cleveland Guardians,Cleveland Guardians,1,-1,1.5,Cleveland Guardians,5,7,0.475,0.535,yes
2026-05-20,KXMLBGAME-26MAY202138ATHLAA,Los Angeles Angels,Oakland Athletics,Oakland Athletics,Oakland Athletics,1,-1,1.5,Oakland Athletics,7,9.5,0.545,0.46499999999999997,yes
2026-05-20,KXMLBGAME-26MAY202040LADSD,San Diego Padres,Los Angeles Dodgers,San Diego Padres,Los Angeles Dodgers,0,2,1.5,Los Angeles Dodgers,4,7.5,0.365,0.645,no
2026-05-20,KXMLBGAME-26MAY201940MILCHC,Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers,Milwaukee Brewers,1,-3,1.5,Milwaukee Brewers,9,6.5,0.485,0.515,yes
2026-05-20,KXMLBGAME-26MAY201940BOSKC,Kansas City Royals,Boston Red Sox,Boston Red Sox,Boston Red Sox,1,-2,1.5,Boston Red Sox,4,7.5,0.475,0.525,yes
2026-05-20,KXMLBGAME-26MAY201945PITSTL,St. Louis Cardinals,Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh Pirates,0,4,1.5,Pittsburgh Pirates,8,7.5,0.515,0.485,no
2026-05-20,KXMLBGAME-26MAY201905TORNYY,New York Yankees,Toronto Blue Jays,New York Yankees,Toronto Blue Jays,0,2,-1.5,New York Yankees,6,8.5,0.615,0.385,no
2026-05-20,KXMLBGAME-26MAY201840ATLMIA,Miami Marlins,Atlanta Braves,Miami Marlins,Atlanta Braves,0,1,1.5,Atlanta Braves,9,7,0.365,0.635,no
2026-05-20,KXMLBGAME-26MAY201845NYMWSH,Washington Nationals,New York Mets,New York Mets,Washington Nationals,0,-5,1.5,New York Mets,15,10,0.535,0.46499999999999997,no
2026-05-20,KXMLBGAME-26MAY201840CLEDET,Detroit Tigers,Cleveland Guardians,Cleveland Guardians,Cleveland Guardians,1,-1,1.5,Cleveland Guardians,9,7.5,0.525,0.485,yes
2026-05-20,KXMLBGAME-26MAY201610CWSSEA,Seattle Mariners,Chicago White Sox,Seattle Mariners,Seattle Mariners,1,2,-1.5,Seattle Mariners,8,7.5,0.565,0.435,yes
2026-05-20,KXMLBGAME-26MAY201540SFAZ,Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,Arizona Diamondbacks,1,2,1.5,San Francisco Giants,8,8.5,0.515,0.485,yes
2026-05-20,KXMLBGAME-26MAY201510TEXCOL,Colorado Rockies,Texas Rangers,Colorado Rockies,Texas Rangers,0,3,1.5,Texas Rangers,11,10,0.46499999999999997,0.535,no
2026-05-20,KXMLBGAME-26MAY201340HOUMIN,Minnesota Twins,Houston Astros,Minnesota Twins,Minnesota Twins,1,2,-1.5,Minnesota Twins,6,8,0.565,0.435,yes
2026-05-20,KXMLBGAME-26MAY201310BALTB,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays,1,1,1.5,Baltimore Orioles,7,8.5,0.525,0.485,yes
2026-05-20,KXMLBGAME-26MAY201305CINPHI,Philadelphia Phillies,Cincinnati Reds,Cincinnati Reds,Cincinnati Reds,1,-1,-1.5,Philadelphia Phillies,11,9.5,0.425,0.575,yes
2026-05-19,KXMLBGAME-26MAY192140CWSSEA,Seattle Mariners,Chicago White Sox,Chicago White Sox,Chicago White Sox,1,-2,-1.5,Seattle Mariners,8,8,0.435,0.565,yes
2026-05-19,KXMLBGAME-26MAY192140LADSD,San Diego Padres,Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Dodgers,1,-2,1.5,Los Angeles Dodgers,8,8,0.605,0.395,yes
2026-05-19,KXMLBGAME-26MAY192138ATHLAA,Los Angeles Angels,Oakland Athletics,Oakland Athletics,Oakland Athletics,1,-1,-1.5,Los Angeles Angels,9,9,0.445,0.555,yes
2026-05-19,KXMLBGAME-26MAY192140SFAZ,Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,Arizona Diamondbacks,1,1,1.5,San Francisco Giants,7,8.5,0.535,0.46499999999999997,yes
2026-05-19,KXMLBGAME-26MAY192040TEXCOL,Colorado Rockies,Texas Rangers,Colorado Rockies,Texas Rangers,0,1,1.5,Texas Rangers,9,10,0.505,0.495,no
2026-05-19,KXMLBGAME-26MAY191945PITSTL,St. Louis Cardinals,Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,1,2,1.5,Pittsburgh Pirates,6,8,0.515,0.485,yes
2026-05-19,KXMLBGAME-26MAY191940BOSKC,Kansas City Royals,Boston Red Sox,Boston Red Sox,Boston Red Sox,1,-1,1.5,Boston Red Sox,3,7.5,0.545,0.455,yes
2026-05-19,KXMLBGAME-26MAY191940MILCHC,Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers,Milwaukee Brewers,1,-1,1.5,Milwaukee Brewers,5,7.5,0.515,0.485,yes
2026-05-19,KXMLBGAME-26MAY191940HOUMIN,Minnesota Twins,Houston Astros,Minnesota Twins,Houston Astros,0,6,-1.5,Minnesota Twins,10,8.5,0.565,0.435,no
2026-05-19,KXMLBGAME-26MAY191905TORNYY,New York Yankees,Toronto Blue Jays,New York Yankees,New York Yankees,1,3,-1.5,New York Yankees,5,8.5,0.545,0.455,yes
2026-05-19,KXMLBGAME-26MAY191845NYMWSH,Washington Nationals,New York Mets,Washington Nationals,Washington Nationals,1,1,1.5,New York Mets,7,8.5,0.435,0.565,yes
2026-05-19,KXMLBGAME-26MAY191840BALTB,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays,1,5,1.5,Baltimore Orioles,7,7.5,0.515,0.495,yes
2026-05-19,KXMLBGAME-26MAY191840CLEDET,Detroit Tigers,Cleveland Guardians,Cleveland Guardians,Cleveland Guardians,1,-3,1.5,Cleveland Guardians,5,8,0.595,0.405,yes
2026-05-19,KXMLBGAME-26MAY191840CINPHI,Philadelphia Phillies,Cincinnati Reds,Philadelphia Phillies,Cincinnati Reds,0,1,-1.5,Philadelphia Phillies,7,8.5,0.565,0.435,no
2026-05-19,KXMLBGAME-26MAY191610ATLMIA,Miami Marlins,Atlanta Braves,Miami Marlins,Atlanta Braves,0,2,1.5,Atlanta Braves,12,8,0.435,0.565,no
